1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0021","0.0001"
"","0.2000","0.0142","0.0001"
"","0.3000","0.0251","0.0001"
"","0.4000","0.0347","0.0001"
"","0.5000","0.0451","0.0001"
"","0.6000","0.0550","0.0001"
"","0.7000","0.0651","0.0002"
"","0.8000","0.0750","0.0002"
"","0.9000","0.0851","0.0002"
"","1.0000","0.0951","0.0002"
"","1.1000","0.1048","0.0002"
"","1.2000","0.1152","0.0002"
"","1.3000","0.1251","0.0002"
"","1.4000","0.1351","0.0003"
"","1.5000","0.1449","0.0003"
"","1.6000","0.1552","0.0003"
"","1.7000","0.1651","0.0003"
"","1.8000","0.1748","0.0004"
"","1.9000","0.1851","0.0004"
"","2.0000","0.1952","0.0004"
"","2.1000","0.2050","0.0004"
"","2.2000","0.2148","0.0004"
"","2.3000","0.2251","0.0005"
"","2.4000","0.2351","0.0005"
"","2.5000","0.2449","0.0005"
"","2.6000","0.2550","0.0005"
"","2.7000","0.2652","0.0006"
"","2.8000","0.2752","0.0006"
"","2.9000","0.2848","0.0006"
"","3.0000","0.2950","0.0007"
"","3.1000","0.3052","0.0007"
"","3.2000","0.3151","0.0007"
"","3.3000","0.3250","0.0007"
"","3.4000","0.3351","0.0008"
"","3.5000","0.3451","0.0008"
"","3.6000","0.3548","0.0008"
"","3.7000","0.3651","0.0009"
"","3.8000","0.3751","0.0009"
"","3.9000","0.3851","0.0009"
"","4.0000","0.3949","0.0010"
"","4.1000","0.4051","0.0010"
"","4.2000","0.4151","0.0011"
"","4.3000","0.4249","0.0011"
"","4.4000","0.4351","0.0011"
"","4.5000","0.4451","0.0012"
"","4.6000","0.4551","0.0012"
"","4.7000","0.4648","0.0012"
"","4.8000","0.4751","0.0013"
"","4.9000","0.4851","0.0013"
"","5.0000","0.4949","0.0014"
"","5.1000","0.5050","0.0014"
"","5.2000","0.5152","0.0015"
"","5.3000","0.5252","0.0015"
"","5.4000","0.5348","0.0016"
"","5.5000","0.5449","0.0016"
"","5.6000","0.5551","0.0017"
"","5.7000","0.5651","0.0017"
"","5.8000","0.5750","0.0018"
"","5.9000","0.5851","0.0018"
"","6.0000","0.5951","0.0019"
"","6.1000","0.6050","0.0019"
"","6.2000","0.6151","0.0020"
"","6.3000","0.6250","0.0021"
"","6.4000","0.6350","0.0021"
"","6.5000","0.6449","0.0022"
"","6.6000","0.6551","0.0022"
"","6.7000","0.6650","0.0023"
"","6.8000","0.6749","0.0024"
"","6.9000","0.6853","0.0025"
"","7.0000","0.6951","0.0025"
"","7.1000","0.7050","0.0026"
"","7.2000","0.7147","0.0027"
"","7.3000","0.7252","0.0028"
"","7.4000","0.7352","0.0029"
"","7.5000","0.7449","0.0030"
"","7.6000","0.7550","0.0031"
"","7.7000","0.7651","0.0032"
"","7.8000","0.7753","0.0033"
"","7.9000","0.7847","0.0035"
"","8.0000","0.7951","0.0036"
"","8.1000","0.8050","0.0037"
"","8.2000","0.8151","0.0038"
"","8.3000","0.8249","0.0039"
"","8.4000","0.8351","0.0040"
"","8.5000","0.8451","0.0042"
"","8.6000","0.8549","0.0043"
"","8.7000","0.8651","0.0045"
"","8.8000","0.8751","0.0046"
"","8.9000","0.8851","0.0048"
"","9.0000","0.8949","0.0049"
"","9.1000","0.9051","0.0051"
"","9.2000","0.9151","0.0053"
"","9.3000","0.9249","0.0054"
"","9.4000","0.9352","0.0056"
"","9.5000","0.9452","0.0058"
"","9.6000","0.9550","0.0060"
"","9.7000","0.9648","0.0062"
"","9.8000","0.9751","0.0064"
"","9.9000","0.9852","0.0066"
"","10.0000","0.9949","0.0067"
"","10.1000","1.0050","0.0069"
"","10.2000","1.0151","0.0071"
"","10.3000","1.0252","0.0073"
"","10.4000","1.0347","0.0075"
"","10.5000","1.0449","0.0078"
"","10.6000","1.0551","0.0080"
"","10.7000","1.0652","0.0082"
"","10.8000","1.0750","0.0084"
"","10.9000","1.0851","0.0086"
