1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0036","0.0000"
"","0.2000","0.0126","0.0000"
"","0.3000","0.0242","0.0000"
"","0.4000","0.0346","0.0000"
"","0.5000","0.0447","0.0000"
"","0.6000","0.0542","0.0000"
"","0.7000","0.0644","0.0000"
"","0.8000","0.0745","0.0001"
"","0.9000","0.0846","0.0001"
"","1.0000","0.0943","0.0001"
"","1.1000","0.1044","0.0001"
"","1.2000","0.1146","0.0001"
"","1.3000","0.1245","0.0001"
"","1.4000","0.1345","0.0001"
"","1.5000","0.1445","0.0001"
"","1.6000","0.1545","0.0001"
"","1.7000","0.1643","0.0001"
"","1.8000","0.1744","0.0002"
"","1.9000","0.1844","0.0002"
"","2.0000","0.1944","0.0002"
"","2.1000","0.2045","0.0002"
"","2.2000","0.2145","0.0002"
"","2.3000","0.2245","0.0002"
"","2.4000","0.2342","0.0002"
"","2.5000","0.2445","0.0002"
"","2.6000","0.2544","0.0002"
"","2.7000","0.2645","0.0002"
"","2.8000","0.2745","0.0002"
"","2.9000","0.2846","0.0002"
"","3.0000","0.2946","0.0002"
"","3.1000","0.3042","0.0003"
"","3.2000","0.3146","0.0003"
"","3.3000","0.3245","0.0003"
"","3.4000","0.3346","0.0003"
"","3.5000","0.3442","0.0003"
"","3.6000","0.3546","0.0003"
"","3.7000","0.3645","0.0003"
"","3.8000","0.3745","0.0003"
"","3.9000","0.3845","0.0003"
"","4.0000","0.3945","0.0003"
"","4.1000","0.4046","0.0003"
"","4.2000","0.4142","0.0003"
"","4.3000","0.4245","0.0003"
"","4.4000","0.4345","0.0004"
"","4.5000","0.4444","0.0004"
"","4.6000","0.4545","0.0004"
"","4.7000","0.4647","0.0004"
"","4.8000","0.4745","0.0004"
"","4.9000","0.4842","0.0004"
"","5.0000","0.4945","0.0004"
"","5.1000","0.5046","0.0004"
"","5.2000","0.5144","0.0005"
"","5.3000","0.5243","0.0004"
"","5.4000","0.5345","0.0004"
"","5.5000","0.5447","0.0005"
"","5.6000","0.5542","0.0004"
"","5.7000","0.5645","0.0005"
"","5.8000","0.5745","0.0004"
"","5.9000","0.5846","0.0005"
"","6.0000","0.5943","0.0005"
"","6.1000","0.6045","0.0005"
"","6.2000","0.6145","0.0006"
"","6.3000","0.6244","0.0005"
"","6.4000","0.6345","0.0006"
"","6.5000","0.6445","0.0006"
"","6.6000","0.6546","0.0006"
"","6.7000","0.6643","0.0006"
"","6.8000","0.6745","0.0006"
"","6.9000","0.6844","0.0006"
"","7.0000","0.6944","0.0006"
"","7.1000","0.7045","0.0007"
"","7.2000","0.7146","0.0007"
"","7.3000","0.7245","0.0007"
"","7.4000","0.7342","0.0007"
"","7.5000","0.7445","0.0007"
"","7.6000","0.7546","0.0008"
"","7.7000","0.7645","0.0007"
"","7.8000","0.7743","0.0008"
"","7.9000","0.7846","0.0008"
"","8.0000","0.7946","0.0008"
"","8.1000","0.8042","0.0008"
"","8.2000","0.8144","0.0009"
"","8.3000","0.8245","0.0009"
"","8.4000","0.8346","0.0009"
"","8.5000","0.8443","0.0009"
"","8.6000","0.8544","0.0010"
"","8.7000","0.8645","0.0010"
"","8.8000","0.8745","0.0010"
"","8.9000","0.8845","0.0010"
"","9.0000","0.8945","0.0011"
"","9.1000","0.9045","0.0011"
"","9.2000","0.9143","0.0011"
"","9.3000","0.9245","0.0012"
"","9.4000","0.9344","0.0012"
"","9.5000","0.9444","0.0012"
"","9.6000","0.9546","0.0013"
"","9.7000","0.9647","0.0013"
"","9.8000","0.9745","0.0013"
"","9.9000","0.9842","0.0014"
"","10.0000","0.9945","0.0014"
"","10.1000","1.0046","0.0015"
"","10.2000","1.0144","0.0015"
"","10.3000","1.0244","0.0016"
"","10.4000","1.0346","0.0016"
"","10.5000","1.0447","0.0017"
"","10.6000","1.0542","0.0017"
"","10.7000","1.0645","0.0018"
"","10.8000","1.0744","0.0019"
"","10.9000","1.0846","0.0019"
