1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","-0.0021","0.0004"
"","0.1000","0.0017","0.0004"
"","0.2000","0.0104","0.0004"
"","0.3000","0.0223","0.0004"
"","0.4000","0.0323","0.0004"
"","0.5000","0.0428","0.0004"
"","0.6000","0.0525","0.0005"
"","0.7000","0.0625","0.0005"
"","0.8000","0.0723","0.0005"
"","0.9000","0.0826","0.0005"
"","1.0000","0.0926","0.0005"
"","1.1000","0.1024","0.0006"
"","1.2000","0.1126","0.0006"
"","1.3000","0.1226","0.0006"
"","1.4000","0.1327","0.0006"
"","1.5000","0.1422","0.0006"
"","1.6000","0.1526","0.0007"
"","1.7000","0.1626","0.0007"
"","1.8000","0.1725","0.0007"
"","1.9000","0.1825","0.0007"
"","2.0000","0.1925","0.0007"
"","2.1000","0.2025","0.0007"
"","2.2000","0.2123","0.0008"
"","2.3000","0.2226","0.0008"
"","2.4000","0.2325","0.0008"
"","2.5000","0.2425","0.0008"
"","2.6000","0.2524","0.0009"
"","2.7000","0.2626","0.0009"
"","2.8000","0.2725","0.0009"
"","2.9000","0.2823","0.0009"
"","3.0000","0.2926","0.0009"
"","3.1000","0.3026","0.0010"
"","3.2000","0.3125","0.0010"
"","3.3000","0.3223","0.0010"
"","3.4000","0.3326","0.0010"
"","3.5000","0.3426","0.0011"
"","3.6000","0.3524","0.0011"
"","3.7000","0.3625","0.0011"
"","3.8000","0.3726","0.0011"
"","3.9000","0.3826","0.0012"
"","4.0000","0.3922","0.0012"
"","4.1000","0.4025","0.0012"
"","4.2000","0.4126","0.0012"
"","4.3000","0.4225","0.0013"
"","4.4000","0.4324","0.0013"
"","4.5000","0.4425","0.0013"
"","4.6000","0.4526","0.0013"
"","4.7000","0.4623","0.0014"
"","4.8000","0.4726","0.0014"
"","4.9000","0.4826","0.0014"
"","5.0000","0.4926","0.0015"
"","5.1000","0.5024","0.0015"
"","5.2000","0.5126","0.0015"
"","5.3000","0.5225","0.0016"
"","5.4000","0.5323","0.0016"
"","5.5000","0.5426","0.0016"
"","5.6000","0.5526","0.0017"
"","5.7000","0.5626","0.0017"
"","5.8000","0.5722","0.0017"
"","5.9000","0.5826","0.0018"
"","6.0000","0.5926","0.0018"
