1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0039","0.0000"
"","0.2000","0.0124","0.0000"
"","0.3000","0.0241","0.0001"
"","0.4000","0.0343","0.0001"
"","0.5000","0.0446","0.0000"
"","0.6000","0.0546","0.0001"
"","0.7000","0.0641","0.0001"
"","0.8000","0.0744","0.0001"
"","0.9000","0.0845","0.0001"
"","1.0000","0.0946","0.0001"
"","1.1000","0.1042","0.0001"
"","1.2000","0.1144","0.0002"
"","1.3000","0.1245","0.0002"
"","1.4000","0.1343","0.0002"
"","1.5000","0.1445","0.0002"
"","1.6000","0.1544","0.0002"
"","1.7000","0.1646","0.0002"
"","1.8000","0.1743","0.0002"
"","1.9000","0.1846","0.0002"
"","2.0000","0.1944","0.0003"
"","2.1000","0.2042","0.0003"
"","2.2000","0.2144","0.0003"
"","2.3000","0.2245","0.0003"
"","2.4000","0.2345","0.0003"
"","2.5000","0.2441","0.0003"
"","2.6000","0.2545","0.0003"
"","2.7000","0.2645","0.0004"
"","2.8000","0.2744","0.0004"
"","2.9000","0.2842","0.0004"
"","3.0000","0.2946","0.0004"
"","3.1000","0.3046","0.0004"
"","3.2000","0.3142","0.0004"
"","3.3000","0.3244","0.0005"
"","3.4000","0.3345","0.0005"
"","3.5000","0.3446","0.0005"
"","3.6000","0.3543","0.0005"
"","3.7000","0.3644","0.0005"
"","3.8000","0.3745","0.0005"
"","3.9000","0.3844","0.0005"
"","4.0000","0.3944","0.0006"
"","4.1000","0.4044","0.0006"
"","4.2000","0.4145","0.0006"
"","4.3000","0.4243","0.0006"
"","4.4000","0.4345","0.0006"
"","4.5000","0.4444","0.0006"
"","4.6000","0.4543","0.0007"
"","4.7000","0.4645","0.0007"
"","4.8000","0.4745","0.0007"
"","4.9000","0.4844","0.0007"
"","5.0000","0.4942","0.0007"
"","5.1000","0.5046","0.0007"
"","5.2000","0.5144","0.0008"
"","5.3000","0.5244","0.0008"
"","5.4000","0.5343","0.0008"
"","5.5000","0.5446","0.0008"
"","5.6000","0.5546","0.0008"
"","5.7000","0.5641","0.0008"
"","5.8000","0.5745","0.0008"
"","5.9000","0.5844","0.0009"
"","6.0000","0.5946","0.0009"
"","6.1000","0.6042","0.0009"
"","6.2000","0.6145","0.0009"
"","6.3000","0.6244","0.0009"
"","6.4000","0.6344","0.0009"
"","6.5000","0.6445","0.0009"
"","6.6000","0.6545","0.0010"
"","6.7000","0.6646","0.0010"
"","6.8000","0.6742","0.0010"
"","6.9000","0.6844","0.0010"
"","7.0000","0.6944","0.0010"
"","7.1000","0.7043","0.0010"
"","7.2000","0.7145","0.0010"
"","7.3000","0.7246","0.0011"
"","7.4000","0.7345","0.0011"
"","7.5000","0.7442","0.0011"
"","7.6000","0.7544","0.0011"
"","7.7000","0.7645","0.0011"
"","7.8000","0.7744","0.0011"
"","7.9000","0.7843","0.0012"
"","8.0000","0.7945","0.0012"
"","8.1000","0.8046","0.0012"
"","8.2000","0.8142","0.0012"
"","8.3000","0.8244","0.0012"
"","8.4000","0.8345","0.0012"
"","8.5000","0.8446","0.0013"
"","8.6000","0.8542","0.0013"
"","8.7000","0.8644","0.0013"
"","8.8000","0.8744","0.0013"
"","8.9000","0.8844","0.0013"
"","9.0000","0.8944","0.0013"
"","9.1000","0.9045","0.0014"
"","9.2000","0.9146","0.0014"
"","9.3000","0.9243","0.0014"
"","9.4000","0.9345","0.0014"
"","9.5000","0.9444","0.0014"
"","9.6000","0.9544","0.0015"
"","9.7000","0.9644","0.0015"
"","9.8000","0.9746","0.0015"
"","9.9000","0.9845","0.0015"
"","10.0000","0.9941","0.0015"
"","10.1000","1.0044","0.0015"
"","10.2000","1.0145","0.0016"
"","10.3000","1.0244","0.0016"
"","10.4000","1.0343","0.0016"
"","10.5000","1.0445","0.0016"
"","10.6000","1.0546","0.0017"
"","10.7000","1.0642","0.0017"
"","10.8000","1.0744","0.0017"
"","10.9000","1.0845","0.0017"
