1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","-0.0022","-0.0004"
"","0.1000","0.0018","-0.0004"
"","0.2000","0.0104","-0.0004"
"","0.3000","0.0221","-0.0004"
"","0.4000","0.0322","-0.0004"
"","0.5000","0.0425","-0.0003"
"","0.6000","0.0525","-0.0003"
"","0.7000","0.0621","-0.0003"
"","0.8000","0.0723","-0.0003"
"","0.9000","0.0825","-0.0003"
"","1.0000","0.0925","-0.0003"
"","1.1000","0.1021","-0.0003"
"","1.2000","0.1123","-0.0003"
"","1.3000","0.1225","-0.0003"
"","1.4000","0.1323","-0.0003"
"","1.5000","0.1424","-0.0003"
"","1.6000","0.1524","-0.0003"
"","1.7000","0.1625","-0.0003"
"","1.8000","0.1722","-0.0003"
"","1.9000","0.1825","-0.0003"
"","2.0000","0.1923","-0.0002"
"","2.1000","0.2022","-0.0002"
"","2.2000","0.2124","-0.0003"
"","2.3000","0.2225","-0.0002"
"","2.4000","0.2324","-0.0002"
"","2.5000","0.2421","-0.0003"
"","2.6000","0.2525","-0.0002"
"","2.7000","0.2625","-0.0002"
"","2.8000","0.2724","-0.0002"
"","2.9000","0.2822","-0.0002"
"","3.0000","0.2925","-0.0002"
"","3.1000","0.3025","-0.0002"
"","3.2000","0.3122","-0.0002"
"","3.3000","0.3223","-0.0002"
"","3.4000","0.3324","-0.0002"
"","3.5000","0.3425","-0.0002"
"","3.6000","0.3522","-0.0002"
"","3.7000","0.3624","-0.0002"
"","3.8000","0.3725","-0.0001"
"","3.9000","0.3824","-0.0001"
"","4.0000","0.3924","-0.0001"
"","4.1000","0.4023","-0.0001"
"","4.2000","0.4124","-0.0001"
"","4.3000","0.4223","-0.0001"
"","4.4000","0.4324","-0.0001"
"","4.5000","0.4423","-0.0001"
"","4.6000","0.4523","-0.0001"
"","4.7000","0.4625","-0.0001"
"","4.8000","0.4725","-0.0001"
"","4.9000","0.4824","-0.0001"
"","5.0000","0.4921","0.0000"
"","5.1000","0.5025","0.0000"
"","5.2000","0.5124","-0.0001"
"","5.3000","0.5223","0.0000"
"","5.4000","0.5323","0.0000"
"","5.5000","0.5425","0.0000"
"","5.6000","0.5525","0.0000"
"","5.7000","0.5621","0.0000"
"","5.8000","0.5724","0.0000"
"","5.9000","0.5824","0.0000"
"","6.0000","0.5925","0.0000"
"","6.1000","0.6021","0.0000"
"","6.2000","0.6124","0.0000"
"","6.3000","0.6224","0.0000"
"","6.4000","0.6324","0.0000"
"","6.5000","0.6424","0.0001"
"","6.6000","0.6525","0.0000"
"","6.7000","0.6625","0.0001"
"","6.8000","0.6722","0.0001"
"","6.9000","0.6824","0.0001"
