1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0034","0.0000"
"","0.2000","0.0111","0.0000"
"","0.3000","0.0235","0.0000"
"","0.4000","0.0343","0.0000"
"","0.5000","0.0442","0.0000"
"","0.6000","0.0539","0.0000"
"","0.7000","0.0639","0.0000"
"","0.8000","0.0740","0.0000"
"","0.9000","0.0842","0.0000"
"","1.0000","0.0937","0.0000"
"","1.1000","0.1039","0.0000"
"","1.2000","0.1140","0.0000"
"","1.3000","0.1240","0.0000"
"","1.4000","0.1339","0.0000"
"","1.5000","0.1440","0.0000"
"","1.6000","0.1540","0.0000"
"","1.7000","0.1638","0.0000"
"","1.8000","0.1741","0.0001"
"","1.9000","0.1839","0.0001"
"","2.0000","0.1939","0.0001"
"","2.1000","0.2038","0.0001"
"","2.2000","0.2141","0.0001"
"","2.3000","0.2240","0.0001"
"","2.4000","0.2338","0.0001"
"","2.5000","0.2441","0.0001"
"","2.6000","0.2540","0.0001"
"","2.7000","0.2640","0.0001"
"","2.8000","0.2738","0.0001"
"","2.9000","0.2841","0.0001"
"","3.0000","0.2941","0.0001"
"","3.1000","0.3039","0.0001"
"","3.2000","0.3139","0.0001"
"","3.3000","0.3241","0.0001"
"","3.4000","0.3342","0.0001"
"","3.5000","0.3437","0.0001"
"","3.6000","0.3540","0.0001"
"","3.7000","0.3640","0.0001"
"","3.8000","0.3741","0.0001"
"","3.9000","0.3839","0.0001"
"","4.0000","0.3941","0.0001"
"","4.1000","0.4040","0.0001"
"","4.2000","0.4137","0.0001"
"","4.3000","0.4241","0.0001"
"","4.4000","0.4340","0.0001"
"","4.5000","0.4440","0.0001"
"","4.6000","0.4538","0.0001"
"","4.7000","0.4642","0.0002"
"","4.8000","0.4740","0.0002"
"","4.9000","0.4838","0.0002"
"","5.0000","0.4939","0.0002"
"","5.1000","0.5042","0.0002"
"","5.2000","0.5140","0.0002"
"","5.3000","0.5237","0.0002"
"","5.4000","0.5340","0.0002"
"","5.5000","0.5442","0.0002"
"","5.6000","0.5538","0.0002"
"","5.7000","0.5639","0.0002"
"","5.8000","0.5740","0.0002"
"","5.9000","0.5842","0.0002"
"","6.0000","0.5937","0.0002"
"","6.1000","0.6039","0.0002"
"","6.2000","0.6140","0.0002"
"","6.3000","0.6240","0.0003"
"","6.4000","0.6339","0.0002"
"","6.5000","0.6440","0.0003"
"","6.6000","0.6540","0.0003"
"","6.7000","0.6638","0.0003"
"","6.8000","0.6741","0.0003"
"","6.9000","0.6839","0.0003"
"","7.0000","0.6940","0.0003"
"","7.1000","0.7038","0.0003"
"","7.2000","0.7141","0.0003"
"","7.3000","0.7239","0.0003"
"","7.4000","0.7338","0.0003"
"","7.5000","0.7440","0.0004"
"","7.6000","0.7541","0.0004"
"","7.7000","0.7640","0.0004"
"","7.8000","0.7737","0.0004"
"","7.9000","0.7840","0.0004"
"","8.0000","0.7941","0.0004"
"","8.1000","0.8039","0.0004"
"","8.2000","0.8139","0.0004"
"","8.3000","0.8240","0.0005"
"","8.4000","0.8341","0.0005"
"","8.5000","0.8438","0.0005"
"","8.6000","0.8538","0.0005"
"","8.7000","0.8640","0.0005"
"","8.8000","0.8740","0.0005"
"","8.9000","0.8840","0.0005"
"","9.0000","0.8940","0.0006"
"","9.1000","0.9040","0.0006"
"","9.2000","0.9138","0.0006"
"","9.3000","0.9241","0.0006"
"","9.4000","0.9339","0.0006"
"","9.5000","0.9439","0.0006"
"","9.6000","0.9539","0.0006"
"","9.7000","0.9642","0.0006"
"","9.8000","0.9740","0.0007"
"","9.9000","0.9838","0.0007"
"","10.0000","0.9940","0.0007"
"","10.1000","1.0041","0.0007"
"","10.2000","1.0140","0.0007"
"","10.3000","1.0237","0.0007"
"","10.4000","1.0340","0.0007"
"","10.5000","1.0441","0.0008"
"","10.6000","1.0539","0.0008"
"","10.7000","1.0639","0.0008"
"","10.8000","1.0740","0.0008"
"","10.9000","1.0841","0.0008"
