1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0047","0.0002"
"","0.1000","0.0074","0.0002"
"","0.2000","0.0152","0.0002"
"","0.3000","0.0271","0.0002"
"","0.4000","0.0376","0.0002"
"","0.5000","0.0478","0.0002"
"","0.6000","0.0575","0.0002"
"","0.7000","0.0674","0.0002"
"","0.8000","0.0776","0.0002"
"","0.9000","0.0878","0.0003"
"","1.0000","0.0974","0.0003"
"","1.1000","0.1075","0.0003"
"","1.2000","0.1176","0.0003"
"","1.3000","0.1276","0.0003"
"","1.4000","0.1375","0.0003"
"","1.5000","0.1476","0.0003"
"","1.6000","0.1576","0.0003"
"","1.7000","0.1675","0.0003"
"","1.8000","0.1777","0.0003"
"","1.9000","0.1876","0.0004"
"","2.0000","0.1975","0.0004"
"","2.1000","0.2074","0.0004"
"","2.2000","0.2177","0.0004"
"","2.3000","0.2276","0.0004"
"","2.4000","0.2376","0.0004"
"","2.5000","0.2476","0.0004"
"","2.6000","0.2577","0.0005"
"","2.7000","0.2676","0.0005"
"","2.8000","0.2774","0.0005"
"","2.9000","0.2877","0.0005"
"","3.0000","0.2977","0.0005"
"","3.1000","0.3075","0.0005"
"","3.2000","0.3175","0.0005"
"","3.3000","0.3277","0.0005"
"","3.4000","0.3378","0.0006"
"","3.5000","0.3474","0.0006"
"","3.6000","0.3576","0.0006"
"","3.7000","0.3676","0.0006"
"","3.8000","0.3777","0.0006"
"","3.9000","0.3875","0.0006"
"","4.0000","0.3977","0.0006"
"","4.1000","0.4077","0.0007"
"","4.2000","0.4174","0.0007"
"","4.3000","0.4278","0.0007"
"","4.4000","0.4376","0.0007"
"","4.5000","0.4476","0.0007"
"","4.6000","0.4574","0.0007"
"","4.7000","0.4678","0.0007"
"","4.8000","0.4776","0.0008"
"","4.9000","0.4875","0.0008"
"","5.0000","0.4975","0.0008"
"","5.1000","0.5078","0.0008"
"","5.2000","0.5176","0.0008"
"","5.3000","0.5273","0.0009"
"","5.4000","0.5376","0.0009"
"","5.5000","0.5478","0.0009"
"","5.6000","0.5575","0.0009"
"","5.7000","0.5675","0.0009"
"","5.8000","0.5777","0.0010"
"","5.9000","0.5878","0.0010"
"","6.0000","0.5974","0.0010"
"","6.1000","0.6075","0.0010"
"","6.2000","0.6176","0.0011"
"","6.3000","0.6276","0.0011"
"","6.4000","0.6375","0.0011"
"","6.5000","0.6476","0.0011"
"","6.6000","0.6577","0.0011"
"","6.7000","0.6675","0.0012"
"","6.8000","0.6777","0.0012"
"","6.9000","0.6876","0.0012"
"","7.0000","0.6976","0.0012"
"","7.1000","0.7074","0.0013"
"","7.2000","0.7178","0.0013"
"","7.3000","0.7276","0.0013"
"","7.4000","0.7375","0.0013"
"","7.5000","0.7476","0.0014"
"","7.6000","0.7578","0.0014"
"","7.7000","0.7677","0.0014"
"","7.8000","0.7773","0.0015"
"","7.9000","0.7876","0.0015"
"","8.0000","0.7977","0.0015"
"","8.1000","0.8075","0.0016"
"","8.2000","0.8175","0.0016"
"","8.3000","0.8276","0.0016"
"","8.4000","0.8378","0.0017"
"","8.5000","0.8475","0.0017"
"","8.6000","0.8575","0.0017"
"","8.7000","0.8676","0.0018"
"","8.8000","0.8777","0.0018"
"","8.9000","0.8876","0.0018"
"","9.0000","0.8976","0.0017"
"","9.1000","0.9076","0.0018"
"","9.2000","0.9175","0.0018"
"","9.3000","0.9277","0.0019"
"","9.4000","0.9376","0.0019"
"","9.5000","0.9476","0.0020"
"","9.6000","0.9574","0.0020"
"","9.7000","0.9678","0.0021"
"","9.8000","0.9777","0.0021"
"","9.9000","0.9875","0.0021"
"","10.0000","0.9976","0.0022"
"","10.1000","1.0078","0.0022"
"","10.2000","1.0177","0.0022"
"","10.3000","1.0273","0.0023"
"","10.4000","1.0376","0.0023"
"","10.5000","1.0477","0.0024"
"","10.6000","1.0576","0.0024"
"","10.7000","1.0675","0.0024"
"","10.8000","1.0777","0.0025"
"","10.9000","1.0878","0.0025"
"","11.0000","1.0974","0.0025"
"","11.1000","1.1077","0.0026"
"","11.2000","1.1176","0.0026"
"","11.3000","1.1277","0.0027"
"","11.4000","1.1375","0.0027"
"","11.5000","1.1477","0.0027"
"","11.6000","1.1576","0.0028"
