1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0038","0.0000"
"","0.2000","0.0125","0.0000"
"","0.3000","0.0243","0.0000"
"","0.4000","0.0342","0.0000"
"","0.5000","0.0445","0.0000"
"","0.6000","0.0546","0.0000"
"","0.7000","0.0644","0.0000"
"","0.8000","0.0746","0.0000"
"","0.9000","0.0845","0.0000"
"","1.0000","0.0945","0.0000"
"","1.1000","0.1042","0.0000"
"","1.2000","0.1146","0.0000"
"","1.3000","0.1244","0.0000"
"","1.4000","0.1344","0.0001"
"","1.5000","0.1444","0.0000"
"","1.6000","0.1547","0.0000"
"","1.7000","0.1645","0.0001"
"","1.8000","0.1742","0.0001"
"","1.9000","0.1845","0.0001"
"","2.0000","0.1945","0.0000"
"","2.1000","0.2044","0.0001"
"","2.2000","0.2143","0.0001"
"","2.3000","0.2245","0.0001"
"","2.4000","0.2346","0.0001"
"","2.5000","0.2443","0.0001"
"","2.6000","0.2545","0.0001"
"","2.7000","0.2645","0.0000"
"","2.8000","0.2746","0.0000"
"","2.9000","0.2843","0.0001"
"","3.0000","0.2944","0.0000"
"","3.1000","0.3045","0.0001"
"","3.2000","0.3144","0.0001"
"","3.3000","0.3246","0.0001"
"","3.4000","0.3344","0.0001"
"","3.5000","0.3445","0.0001"
"","3.6000","0.3543","0.0001"
"","3.7000","0.3646","0.0001"
"","3.8000","0.3745","0.0001"
"","3.9000","0.3844","0.0001"
"","4.0000","0.3944","0.0001"
"","4.1000","0.4046","0.0001"
"","4.2000","0.4145","0.0001"
"","4.3000","0.4242","0.0001"
"","4.4000","0.4346","0.0001"
"","4.5000","0.4445","0.0001"
"","4.6000","0.4545","0.0001"
"","4.7000","0.4643","0.0001"
"","4.8000","0.4745","0.0001"
"","4.9000","0.4846","0.0001"
"","5.0000","0.4943","0.0001"
"","5.1000","0.5045","0.0002"
"","5.2000","0.5145","0.0002"
"","5.3000","0.5246","0.0001"
"","5.4000","0.5343","0.0002"
"","5.5000","0.5446","0.0002"
"","5.6000","0.5545","0.0002"
"","5.7000","0.5644","0.0002"
"","5.8000","0.5745","0.0002"
"","5.9000","0.5845","0.0000"
"","6.0000","0.5945","0.0002"
"","6.1000","0.6042","0.0001"
"","6.2000","0.6146","0.0003"
"","6.3000","0.6245","0.0003"
"","6.4000","0.6344","0.0001"
"","6.5000","0.6444","0.0002"
"","6.6000","0.6546","0.0001"
"","6.7000","0.6645","0.0002"
"","6.8000","0.6742","0.0002"
"","6.9000","0.6845","0.0002"
"","7.0000","0.6946","0.0003"
"","7.1000","0.7045","0.0003"
"","7.2000","0.7143","0.0002"
"","7.3000","0.7245","0.0002"
"","7.4000","0.7346","0.0002"
"","7.5000","0.7444","0.0002"
"","7.6000","0.7544","0.0003"
"","7.7000","0.7645","0.0003"
"","7.8000","0.7745","0.0002"
"","7.9000","0.7843","0.0002"
"","8.0000","0.7944","0.0002"
"","8.1000","0.8045","0.0002"
"","8.2000","0.8144","0.0003"
"","8.3000","0.8246","0.0003"
"","8.4000","0.8345","0.0003"
"","8.5000","0.8446","0.0003"
"","8.6000","0.8542","0.0003"
"","8.7000","0.8646","0.0003"
"","8.8000","0.8744","0.0003"
"","8.9000","0.8844","0.0003"
"","9.0000","0.8944","0.0003"
"","9.1000","0.9047","0.0003"
"","9.2000","0.9146","0.0003"
"","9.3000","0.9242","0.0003"
"","9.4000","0.9345","0.0003"
"","9.5000","0.9446","0.0003"
"","9.6000","0.9545","0.0003"
"","9.7000","0.9643","0.0003"
"","9.8000","0.9745","0.0003"
"","9.9000","0.9846","0.0003"
"","10.0000","0.9944","0.0003"
"","10.1000","1.0044","0.0003"
"","10.2000","1.0145","0.0003"
"","10.3000","1.0245","0.0004"
"","10.4000","1.0344","0.0004"
"","10.5000","1.0444","0.0004"
"","10.6000","1.0545","0.0004"
"","10.7000","1.0644","0.0004"
"","10.8000","1.0746","0.0004"
"","10.9000","1.0845","0.0004"
