1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0033","0.0000"
"","0.2000","0.0142","0.0000"
"","0.3000","0.0253","0.0001"
"","0.4000","0.0354","0.0001"
"","0.5000","0.0451","0.0001"
"","0.6000","0.0554","0.0001"
"","0.7000","0.0656","0.0002"
"","0.8000","0.0753","0.0002"
"","0.9000","0.0852","0.0002"
"","1.0000","0.0954","0.0002"
"","1.1000","0.1056","0.0002"
"","1.2000","0.1153","0.0003"
"","1.3000","0.1253","0.0003"
"","1.4000","0.1354","0.0003"
"","1.5000","0.1454","0.0003"
"","1.6000","0.1553","0.0003"
"","1.7000","0.1654","0.0004"
"","1.8000","0.1754","0.0004"
"","1.9000","0.1853","0.0004"
"","2.0000","0.1955","0.0004"
"","2.1000","0.2054","0.0005"
"","2.2000","0.2154","0.0005"
"","2.3000","0.2251","0.0005"
"","2.4000","0.2355","0.0005"
"","2.5000","0.2454","0.0005"
"","2.6000","0.2553","0.0006"
"","2.7000","0.2653","0.0006"
"","2.8000","0.2753","0.0006"
"","2.9000","0.2853","0.0006"
"","3.0000","0.2951","0.0006"
"","3.1000","0.3054","0.0006"
"","3.2000","0.3155","0.0007"
"","3.3000","0.3254","0.0007"
"","3.4000","0.3352","0.0007"
"","3.5000","0.3454","0.0007"
"","3.6000","0.3556","0.0007"
"","3.7000","0.3653","0.0007"
"","3.8000","0.3754","0.0008"
"","3.9000","0.3854","0.0008"
"","4.0000","0.3955","0.0008"
"","4.1000","0.4053","0.0008"
"","4.2000","0.4154","0.0008"
"","4.3000","0.4254","0.0009"
"","4.4000","0.4353","0.0009"
"","4.5000","0.4455","0.0009"
"","4.6000","0.4554","0.0009"
"","4.7000","0.4654","0.0009"
"","4.8000","0.4752","0.0009"
"","4.9000","0.4855","0.0010"
"","5.0000","0.4954","0.0010"
"","5.1000","0.5053","0.0010"
"","5.2000","0.5154","0.0010"
"","5.3000","0.5255","0.0010"
"","5.4000","0.5355","0.0010"
"","5.5000","0.5451","0.0011"
"","5.6000","0.5555","0.0011"
"","5.7000","0.5655","0.0011"
"","5.8000","0.5754","0.0011"
"","5.9000","0.5853","0.0012"
"","6.0000","0.5955","0.0012"
"","6.1000","0.6056","0.0012"
"","6.2000","0.6152","0.0012"
"","6.3000","0.6254","0.0013"
"","6.4000","0.6354","0.0013"
"","6.5000","0.6455","0.0013"
"","6.6000","0.6553","0.0013"
"","6.7000","0.6655","0.0013"
"","6.8000","0.6754","0.0014"
"","6.9000","0.6853","0.0014"
"","7.0000","0.6956","0.0014"
"","7.1000","0.7054","0.0015"
"","7.2000","0.7154","0.0015"
"","7.3000","0.7252","0.0015"
"","7.4000","0.7356","0.0015"
"","7.5000","0.7454","0.0015"
"","7.6000","0.7553","0.0016"
"","7.7000","0.7653","0.0016"
"","7.8000","0.7756","0.0016"
"","7.9000","0.7855","0.0017"
"","8.0000","0.7951","0.0017"
"","8.1000","0.8054","0.0017"
"","8.2000","0.8156","0.0017"
"","8.3000","0.8253","0.0017"
"","8.4000","0.8352","0.0018"
"","8.5000","0.8454","0.0018"
"","8.6000","0.8556","0.0018"
"","8.7000","0.8652","0.0019"
"","8.8000","0.8753","0.0019"
"","8.9000","0.8854","0.0019"
"","9.0000","0.8955","0.0020"
"","9.1000","0.9053","0.0020"
"","9.2000","0.9154","0.0020"
"","9.3000","0.9254","0.0021"
"","9.4000","0.9353","0.0021"
"","9.5000","0.9455","0.0021"
"","9.6000","0.9554","0.0022"
"","9.7000","0.9654","0.0022"
"","9.8000","0.9751","0.0022"
"","9.9000","0.9855","0.0023"
"","10.0000","0.9954","0.0023"
"","10.1000","1.0053","0.0024"
"","10.2000","1.0153","0.0024"
"","10.3000","1.0256","0.0024"
"","10.4000","1.0355","0.0025"
"","10.5000","1.0451","0.0025"
"","10.6000","1.0554","0.0025"
"","10.7000","1.0655","0.0026"
"","10.8000","1.0754","0.0026"
"","10.9000","1.0852","0.0027"
