1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0010"
"","0.1000","0.0039","0.0010"
"","0.2000","0.0127","0.0011"
"","0.3000","0.0245","0.0011"
"","0.4000","0.0347","0.0012"
"","0.5000","0.0446","0.0012"
"","0.6000","0.0545","0.0012"
"","0.7000","0.0647","0.0012"
"","0.8000","0.0748","0.0012"
"","0.9000","0.0843","0.0012"
"","1.0000","0.0946","0.0013"
"","1.1000","0.1047","0.0013"
"","1.2000","0.1148","0.0013"
"","1.3000","0.1244","0.0013"
"","1.4000","0.1346","0.0013"
"","1.5000","0.1447","0.0014"
"","1.6000","0.1546","0.0014"
"","1.7000","0.1646","0.0014"
"","1.8000","0.1747","0.0015"
"","1.9000","0.1847","0.0015"
"","2.0000","0.1944","0.0015"
"","2.1000","0.2047","0.0015"
"","2.2000","0.2146","0.0015"
"","2.3000","0.2246","0.0016"
"","2.4000","0.2347","0.0016"
"","2.5000","0.2448","0.0016"
"","2.6000","0.2547","0.0016"
"","2.7000","0.2643","0.0017"
"","2.8000","0.2746","0.0017"
"","2.9000","0.2845","0.0017"
"","3.0000","0.2944","0.0017"
"","3.1000","0.3045","0.0017"
"","3.2000","0.3148","0.0018"
"","3.3000","0.3248","0.0018"
"","3.4000","0.3344","0.0018"
"","3.5000","0.3446","0.0018"
"","3.6000","0.3547","0.0019"
"","3.7000","0.3648","0.0019"
"","3.8000","0.3745","0.0019"
"","3.9000","0.3846","0.0019"
"","4.0000","0.3947","0.0020"
"","4.1000","0.4046","0.0020"
"","4.2000","0.4146","0.0020"
"","4.3000","0.4246","0.0020"
"","4.4000","0.4346","0.0021"
"","4.5000","0.4445","0.0021"
"","4.6000","0.4546","0.0021"
"","4.7000","0.4646","0.0021"
"","4.8000","0.4745","0.0021"
"","4.9000","0.4847","0.0022"
"","5.0000","0.4947","0.0022"
"","5.1000","0.5047","0.0022"
"","5.2000","0.5144","0.0022"
"","5.3000","0.5247","0.0023"
"","5.4000","0.5346","0.0023"
"","5.5000","0.5446","0.0023"
"","5.6000","0.5546","0.0023"
"","5.7000","0.5647","0.0024"
"","5.8000","0.5748","0.0024"
"","5.9000","0.5843","0.0024"
"","6.0000","0.5947","0.0025"
"","6.1000","0.6046","0.0025"
"","6.2000","0.6148","0.0025"
"","6.3000","0.6244","0.0025"
"","6.4000","0.6347","0.0026"
"","6.5000","0.6447","0.0026"
"","6.6000","0.6546","0.0026"
"","6.7000","0.6647","0.0027"
"","6.8000","0.6747","0.0027"
"","6.9000","0.6847","0.0027"
"","7.0000","0.6944","0.0027"
"","7.1000","0.7047","0.0028"
"","7.2000","0.7146","0.0028"
"","7.3000","0.7246","0.0028"
"","7.4000","0.7347","0.0029"
"","7.5000","0.7448","0.0029"
"","7.6000","0.7547","0.0030"
"","7.7000","0.7644","0.0030"
"","7.8000","0.7746","0.0031"
"","7.9000","0.7847","0.0031"
"","8.0000","0.7946","0.0032"
"","8.1000","0.8045","0.0032"
"","8.2000","0.8147","0.0032"
"","8.3000","0.8249","0.0033"
"","8.4000","0.8343","0.0033"
"","8.5000","0.8446","0.0034"
"","8.6000","0.8547","0.0035"
"","8.7000","0.8648","0.0035"
"","8.8000","0.8744","0.0036"
"","8.9000","0.8846","0.0036"
"","9.0000","0.8947","0.0037"
"","9.1000","0.9045","0.0038"
"","9.2000","0.9146","0.0038"
"","9.3000","0.9247","0.0038"
"","9.4000","0.9347","0.0039"
"","9.5000","0.9445","0.0040"
"","9.6000","0.9547","0.0041"
"","9.7000","0.9646","0.0042"
"","9.8000","0.9746","0.0042"
"","9.9000","0.9847","0.0043"
"","10.0000","0.9948","0.0044"
"","10.1000","1.0047","0.0044"
"","10.2000","1.0143","0.0045"
"","10.3000","1.0247","0.0046"
"","10.4000","1.0347","0.0046"
"","10.5000","1.0446","0.0046"
"","10.6000","1.0545","0.0047"
"","10.7000","1.0648","0.0048"
"","10.8000","1.0748","0.0049"
"","10.9000","1.0844","0.0050"
"","11.0000","1.0946","0.0051"
"","11.1000","1.1046","0.0052"
"","11.2000","1.1147","0.0053"
"","11.3000","1.1245","0.0054"
"","11.4000","1.1346","0.0054"
"","11.5000","1.1447","0.0056"
"","11.6000","1.1547","0.0056"
"","11.7000","1.1647","0.0057"
"","11.8000","1.1746","0.0058"
"","11.9000","1.1846","0.0059"
"","12.0000","1.1945","0.0060"
"","12.1000","1.2047","0.0061"
