1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0028","0.0000"
"","0.2000","0.0106","0.0000"
"","0.3000","0.0227","0.0000"
"","0.4000","0.0327","0.0000"
"","0.5000","0.0432","0.0000"
"","0.6000","0.0529","0.0000"
"","0.7000","0.0629","0.0000"
"","0.8000","0.0727","0.0000"
"","0.9000","0.0830","0.0000"
"","1.0000","0.0930","0.0000"
"","1.1000","0.1028","0.0000"
"","1.2000","0.1130","0.0001"
"","1.3000","0.1230","0.0001"
"","1.4000","0.1331","0.0001"
"","1.5000","0.1426","0.0001"
"","1.6000","0.1530","0.0001"
"","1.7000","0.1630","0.0001"
"","1.8000","0.1730","0.0001"
"","1.9000","0.1829","0.0001"
"","2.0000","0.1930","0.0001"
"","2.1000","0.2030","0.0001"
"","2.2000","0.2128","0.0001"
"","2.3000","0.2231","0.0001"
"","2.4000","0.2329","0.0001"
"","2.5000","0.2429","0.0001"
"","2.6000","0.2529","0.0001"
"","2.7000","0.2631","0.0001"
"","2.8000","0.2730","0.0001"
"","2.9000","0.2827","0.0001"
"","3.0000","0.2930","0.0001"
"","3.1000","0.3031","0.0001"
"","3.2000","0.3129","0.0001"
"","3.3000","0.3227","0.0001"
"","3.4000","0.3330","0.0001"
"","3.5000","0.3431","0.0001"
"","3.6000","0.3528","0.0001"
"","3.7000","0.3629","0.0001"
"","3.8000","0.3730","0.0001"
"","3.9000","0.3830","0.0001"
"","4.0000","0.3927","0.0001"
"","4.1000","0.4029","0.0002"
"","4.2000","0.4131","0.0002"
"","4.3000","0.4229","0.0002"
"","4.4000","0.4329","0.0002"
"","4.5000","0.4429","0.0002"
"","4.6000","0.4531","0.0002"
"","4.7000","0.4627","0.0002"
"","4.8000","0.4730","0.0002"
"","4.9000","0.4830","0.0002"
"","5.0000","0.4930","0.0002"
"","5.1000","0.5028","0.0002"
"","5.2000","0.5131","0.0002"
"","5.3000","0.5229","0.0002"
"","5.4000","0.5327","0.0002"
"","5.5000","0.5431","0.0002"
"","5.6000","0.5530","0.0002"
"","5.7000","0.5630","0.0002"
"","5.8000","0.5727","0.0002"
"","5.9000","0.5830","0.0003"
"","6.0000","0.5931","0.0003"
"","6.1000","0.6028","0.0003"
"","6.2000","0.6129","0.0003"
"","6.3000","0.6230","0.0003"
"","6.4000","0.6331","0.0003"
"","6.5000","0.6426","0.0003"
"","6.6000","0.6529","0.0003"
"","6.7000","0.6630","0.0003"
"","6.8000","0.6730","0.0003"
"","6.9000","0.6829","0.0003"
"","7.0000","0.6930","0.0004"
"","7.1000","0.7030","0.0004"
"","7.2000","0.7128","0.0004"
"","7.3000","0.7229","0.0004"
"","7.4000","0.7329","0.0004"
"","7.5000","0.7429","0.0004"
"","7.6000","0.7529","0.0004"
"","7.7000","0.7629","0.0004"
"","7.8000","0.7729","0.0004"
"","7.9000","0.7827","0.0004"
"","8.0000","0.7932","0.0004"
"","8.1000","0.8030","0.0004"
"","8.2000","0.8129","0.0004"
"","8.3000","0.8227","0.0005"
"","8.4000","0.8331","0.0005"
"","8.5000","0.8431","0.0005"
"","8.6000","0.8528","0.0005"
"","8.7000","0.8630","0.0005"
"","8.8000","0.8730","0.0005"
"","8.9000","0.8831","0.0005"
"","9.0000","0.8926","0.0005"
"","9.1000","0.9030","0.0006"
"","9.2000","0.9130","0.0006"
"","9.3000","0.9230","0.0006"
"","9.4000","0.9329","0.0006"
"","9.5000","0.9430","0.0006"
"","9.6000","0.9530","0.0006"
"","9.7000","0.9628","0.0006"
"","9.8000","0.9730","0.0006"
"","9.9000","0.9830","0.0007"
"","10.0000","0.9930","0.0007"
"","10.1000","1.0029","0.0007"
"","10.2000","1.0130","0.0007"
"","10.3000","1.0229","0.0007"
"","10.4000","1.0327","0.0007"
"","10.5000","1.0431","0.0008"
"","10.6000","1.0530","0.0008"
"","10.7000","1.0629","0.0008"
"","10.8000","1.0727","0.0008"
"","10.9000","1.0830","0.0008"
