1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0031","0.0000"
"","0.2000","0.0113","0.0000"
"","0.3000","0.0229","0.0000"
"","0.4000","0.0331","0.0000"
"","0.5000","0.0434","0.0000"
"","0.6000","0.0535","0.0000"
"","0.7000","0.0630","0.0000"
"","0.8000","0.0733","0.0001"
"","0.9000","0.0834","0.0001"
"","1.0000","0.0934","0.0001"
"","1.1000","0.1032","0.0001"
"","1.2000","0.1133","0.0001"
"","1.3000","0.1235","0.0001"
"","1.4000","0.1332","0.0001"
"","1.5000","0.1434","0.0001"
"","1.6000","0.1534","0.0001"
"","1.7000","0.1634","0.0001"
"","1.8000","0.1732","0.0001"
"","1.9000","0.1835","0.0001"
"","2.0000","0.1934","0.0001"
"","2.1000","0.2032","0.0002"
"","2.2000","0.2134","0.0002"
"","2.3000","0.2234","0.0002"
"","2.4000","0.2334","0.0002"
"","2.5000","0.2430","0.0002"
"","2.6000","0.2534","0.0002"
"","2.7000","0.2635","0.0002"
"","2.8000","0.2733","0.0002"
"","2.9000","0.2832","0.0002"
"","3.0000","0.2934","0.0002"
"","3.1000","0.3035","0.0002"
"","3.2000","0.3131","0.0002"
"","3.3000","0.3233","0.0002"
"","3.4000","0.3334","0.0002"
"","3.5000","0.3434","0.0002"
"","3.6000","0.3532","0.0003"
"","3.7000","0.3633","0.0003"
"","3.8000","0.3734","0.0003"
"","3.9000","0.3833","0.0003"
"","4.0000","0.3934","0.0003"
"","4.1000","0.4033","0.0003"
"","4.2000","0.4133","0.0003"
"","4.3000","0.4232","0.0003"
"","4.4000","0.4334","0.0003"
"","4.5000","0.4433","0.0003"
"","4.6000","0.4532","0.0003"
"","4.7000","0.4635","0.0003"
"","4.8000","0.4734","0.0003"
"","4.9000","0.4834","0.0003"
"","5.0000","0.4930","0.0003"
"","5.1000","0.5034","0.0004"
"","5.2000","0.5134","0.0004"
"","5.3000","0.5232","0.0004"
"","5.4000","0.5333","0.0004"
"","5.5000","0.5435","0.0004"
"","5.6000","0.5535","0.0004"
"","5.7000","0.5630","0.0004"
"","5.8000","0.5733","0.0004"
"","5.9000","0.5834","0.0004"
"","6.0000","0.5934","0.0004"
"","6.1000","0.6031","0.0004"
"","6.2000","0.6133","0.0005"
"","6.3000","0.6234","0.0005"
"","6.4000","0.6333","0.0005"
"","6.5000","0.6434","0.0005"
"","6.6000","0.6534","0.0005"
"","6.7000","0.6634","0.0005"
"","6.8000","0.6732","0.0005"
"","6.9000","0.6833","0.0005"
"","7.0000","0.6933","0.0005"
"","7.1000","0.7032","0.0005"
"","7.2000","0.7134","0.0005"
"","7.3000","0.7235","0.0005"
"","7.4000","0.7334","0.0005"
"","7.5000","0.7431","0.0006"
"","7.6000","0.7533","0.0006"
"","7.7000","0.7634","0.0006"
"","7.8000","0.7732","0.0006"
"","7.9000","0.7832","0.0006"
"","8.0000","0.7934","0.0006"
"","8.1000","0.8035","0.0006"
"","8.2000","0.8130","0.0006"
"","8.3000","0.8233","0.0006"
"","8.4000","0.8334","0.0006"
"","8.5000","0.8435","0.0006"
"","8.6000","0.8532","0.0006"
"","8.7000","0.8633","0.0007"
"","8.8000","0.8734","0.0007"
"","8.9000","0.8832","0.0007"
"","9.0000","0.8934","0.0007"
"","9.1000","0.9034","0.0007"
"","9.2000","0.9134","0.0007"
"","9.3000","0.9232","0.0007"
"","9.4000","0.9334","0.0007"
"","9.5000","0.9433","0.0007"
"","9.6000","0.9532","0.0007"
"","9.7000","0.9634","0.0008"
"","9.8000","0.9734","0.0008"
"","9.9000","0.9834","0.0008"
"","10.0000","0.9930","0.0008"
"","10.1000","1.0033","0.0008"
"","10.2000","1.0134","0.0008"
"","10.3000","1.0233","0.0008"
"","10.4000","1.0332","0.0008"
"","10.5000","1.0434","0.0008"
"","10.6000","1.0535","0.0008"
"","10.7000","1.0631","0.0008"
"","10.8000","1.0733","0.0009"
"","10.9000","1.0833","0.0009"
