1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","0.0000"
"","0.1000","0.0035","0.0000"
"","0.2000","0.0120","0.0000"
"","0.3000","0.0237","0.0000"
"","0.4000","0.0337","0.0000"
"","0.5000","0.0440","0.0000"
"","0.6000","0.0541","0.0000"
"","0.7000","0.0638","0.0000"
"","0.8000","0.0741","0.0000"
"","0.9000","0.0840","0.0000"
"","1.0000","0.0940","0.0000"
"","1.1000","0.1038","0.0000"
"","1.2000","0.1141","0.0000"
"","1.3000","0.1240","0.0000"
"","1.4000","0.1338","0.0000"
"","1.5000","0.1440","0.0000"
"","1.6000","0.1541","0.0000"
"","1.7000","0.1640","0.0001"
"","1.8000","0.1737","0.0001"
"","1.9000","0.1840","0.0001"
"","2.0000","0.1941","0.0000"
"","2.1000","0.2039","0.0001"
"","2.2000","0.2139","0.0001"
"","2.3000","0.2240","0.0001"
"","2.4000","0.2342","0.0001"
"","2.5000","0.2437","0.0000"
"","2.6000","0.2539","0.0001"
"","2.7000","0.2640","0.0001"
"","2.8000","0.2740","0.0001"
"","2.9000","0.2839","0.0000"
"","3.0000","0.2940","0.0001"
"","3.1000","0.3041","0.0001"
"","3.2000","0.3138","0.0001"
"","3.3000","0.3241","0.0001"
"","3.4000","0.3339","0.0001"
"","3.5000","0.3440","0.0001"
"","3.6000","0.3538","0.0001"
"","3.7000","0.3641","0.0001"
"","3.8000","0.3740","0.0001"
"","3.9000","0.3839","0.0001"
"","4.0000","0.3940","0.0001"
"","4.1000","0.4040","0.0002"
"","4.2000","0.4140","0.0001"
"","4.3000","0.4237","0.0001"
"","4.4000","0.4340","0.0001"
"","4.5000","0.4441","0.0001"
"","4.6000","0.4539","0.0002"
"","4.7000","0.4639","0.0002"
"","4.8000","0.4740","0.0002"
"","4.9000","0.4841","0.0001"
"","5.0000","0.4937","0.0002"
"","5.1000","0.5040","0.0002"
"","5.2000","0.5140","0.0002"
"","5.3000","0.5240","0.0001"
"","5.4000","0.5339","0.0001"
"","5.5000","0.5441","0.0002"
"","5.6000","0.5541","0.0002"
"","5.7000","0.5638","0.0002"
"","5.8000","0.5741","0.0001"
"","5.9000","0.5840","0.0002"
"","6.0000","0.5940","0.0002"
"","6.1000","0.6038","0.0003"
"","6.2000","0.6141","0.0002"
"","6.3000","0.6240","0.0002"
"","6.4000","0.6339","0.0002"
"","6.5000","0.6439","0.0002"
"","6.6000","0.6541","0.0003"
"","6.7000","0.6640","0.0003"
"","6.8000","0.6737","0.0003"
"","6.9000","0.6839","0.0002"
"","7.0000","0.6942","0.0002"
"","7.1000","0.7039","0.0003"
"","7.2000","0.7139","0.0002"
"","7.3000","0.7241","0.0003"
"","7.4000","0.7342","0.0003"
"","7.5000","0.7438","0.0003"
"","7.6000","0.7539","0.0003"
"","7.7000","0.7640","0.0003"
"","7.8000","0.7739","0.0003"
"","7.9000","0.7839","0.0003"
"","8.0000","0.7940","0.0003"
"","8.1000","0.8041","0.0003"
"","8.2000","0.8138","0.0003"
"","8.3000","0.8241","0.0004"
"","8.4000","0.8340","0.0003"
"","8.5000","0.8440","0.0004"
"","8.6000","0.8538","0.0003"
"","8.7000","0.8641","0.0004"
"","8.8000","0.8740","0.0004"
"","8.9000","0.8838","0.0004"
"","9.0000","0.8940","0.0004"
"","9.1000","0.9041","0.0004"
"","9.2000","0.9140","0.0004"
"","9.3000","0.9237","0.0004"
"","9.4000","0.9340","0.0004"
"","9.5000","0.9441","0.0005"
"","9.6000","0.9539","0.0005"
"","9.7000","0.9639","0.0005"
"","9.8000","0.9740","0.0005"
"","9.9000","0.9841","0.0005"
"","10.0000","0.9938","0.0005"
"","10.1000","1.0039","0.0005"
"","10.2000","1.0140","0.0006"
"","10.3000","1.0240","0.0006"
"","10.4000","1.0339","0.0006"
"","10.5000","1.0440","0.0006"
"","10.6000","1.0540","0.0006"
"","10.7000","1.0638","0.0007"
"","10.8000","1.0741","0.0007"
"","10.9000","1.0840","0.0007"
