1,Time,Displacement,Force
,(s),(mm),(kN)
"","0.0000","0.0000","-0.0001"
"","0.1000","0.0035","-0.0001"
"","0.2000","0.0123","0.0000"
"","0.3000","0.0242","0.0000"
"","0.4000","0.0345","0.0000"
"","0.5000","0.0444","0.0000"
"","0.6000","0.0541","0.0001"
"","0.7000","0.0644","0.0001"
"","0.8000","0.0746","0.0001"
"","0.9000","0.0842","0.0001"
"","1.0000","0.0943","0.0001"
"","1.1000","0.1044","0.0001"
"","1.2000","0.1146","0.0002"
"","1.3000","0.1241","0.0002"
"","1.4000","0.1343","0.0002"
"","1.5000","0.1443","0.0002"
"","1.6000","0.1544","0.0002"
"","1.7000","0.1642","0.0003"
"","1.8000","0.1744","0.0003"
"","1.9000","0.1844","0.0003"
"","2.0000","0.1941","0.0003"
"","2.1000","0.2045","0.0003"
"","2.2000","0.2143","0.0004"
"","2.3000","0.2243","0.0004"
"","2.4000","0.2342","0.0004"
"","2.5000","0.2445","0.0004"
"","2.6000","0.2543","0.0004"
"","2.7000","0.2642","0.0004"
"","2.8000","0.2743","0.0005"
"","2.9000","0.2843","0.0005"
"","3.0000","0.2942","0.0005"
"","3.1000","0.3041","0.0005"
"","3.2000","0.3144","0.0005"
"","3.3000","0.3245","0.0006"
"","3.4000","0.3343","0.0006"
"","3.5000","0.3443","0.0006"
"","3.6000","0.3544","0.0006"
"","3.7000","0.3646","0.0007"
"","3.8000","0.3741","0.0007"
"","3.9000","0.3843","0.0007"
"","4.0000","0.3944","0.0007"
"","4.1000","0.4044","0.0007"
"","4.2000","0.4143","0.0007"
"","4.3000","0.4244","0.0008"
"","4.4000","0.4344","0.0008"
"","4.5000","0.4442","0.0008"
"","4.6000","0.4544","0.0008"
"","4.7000","0.4643","0.0009"
"","4.8000","0.4743","0.0009"
"","4.9000","0.4842","0.0009"
"","5.0000","0.4944","0.0009"
"","5.1000","0.5043","0.0009"
"","5.2000","0.5142","0.0010"
"","5.3000","0.5244","0.0010"
"","5.4000","0.5344","0.0010"
"","5.5000","0.5444","0.0010"
"","5.6000","0.5541","0.0010"
"","5.7000","0.5644","0.0011"
"","5.8000","0.5745","0.0011"
"","5.9000","0.5842","0.0011"
"","6.0000","0.5943","0.0011"
"","6.1000","0.6044","0.0011"
"","6.2000","0.6145","0.0012"
"","6.3000","0.6241","0.0012"
"","6.4000","0.6344","0.0012"
"","6.5000","0.6444","0.0012"
"","6.6000","0.6544","0.0013"
"","6.7000","0.6643","0.0013"
"","6.8000","0.6745","0.0013"
"","6.9000","0.6844","0.0013"
"","7.0000","0.6941","0.0014"
